"u","v","w","vel_mag","f00","f01","f02","f03","f04","f05","f06","f07","f08","f09","f10","f11","f12","f13","f14","f15","f16","f17","f18","rho","press","fluid","ThID","Points:0","Points:1","Points:2"
0,0.033138,0,0.033138,4.3765,0.65868,0.5748,0.52956,0.72976,0.79558,0.79558,0.31136,0.12487,0.37485,0.34569,-0.15889,2.1243,1.9745,-0.009136,0.14346,0.62599,0.86824,-0.098792,15.087,5.029,1,0,0.86207,0.068966,0
0.52521,0.43654,-0.093813,0.68935,2.2713,3.2076,-0.010735,1.7106,-0.30258,0.73206,0.57141,5.8197,2.5784,4.6584,0.86316,0.70534,-0.42066,1.9306,0.039935,0.31196,-0.27732,1.136,-0.25599,25.269,8.4231,1,0,0.82759,0.068966,0.034483
0.52791,0.51435,-0.11535,0.74602,1.1388,2.903,-0.20401,2.9839,-0.29008,0.93703,0.702,3.1716,1.1336,4.8295,1.0985,0.74551,-0.22574,2.1354,-0.1142,0.55517,-0.25858,1.8015,-0.12813,22.915,7.6382,1,0,0.86207,0.10345,0.034483
0.65783,0.66428,-0.087682,0.93899,-0.79863,2.9736,-0.18,3.1156,-0.29341,1.0197,-0.11979,2.9089,0.1394,4.394,1.1554,0.77826,-0.26708,2.0395,-0.12436,0.63174,-0.29158,1.9382,-0.21366,18.806,6.2686,1,0,0.82759,0.10345,0.034483
0,0.018006,-0,0.018006,4.3267,0.64446,0.64785,0.56798,0.66579,0.8435,0.8435,0.29161,0.22947,0.3639,0.37526,-0.13587,1.8827,1.859,-0.11219,-0.02961,0.84808,1.006,-0.18755,14.931,4.9769,1,0,0.82759,0.068966,0
-0,0.005493,0,0.005493,4.7687,0.69563,0.69605,0.81871,0.78821,0.58582,0.58582,0.41577,0.34258,0.39052,0.37598,-0.048025,1.7414,1.6978,-0.004371,-0.18128,1.9832,1.972,-0.1701,17.454,5.8181,1,0,0.86207,0.10345,0
0,0.003372,-0,0.003372,4.4154,0.72594,0.63696,0.74044,0.74624,0.58425,0.58425,0.42116,0.36108,0.38852,0.41784,-0.13981,1.6909,1.6311,-0.079944,0.040272,1.5353,1.5502,0.02531,16.275,5.4251,1,0,0.89655,0.10345,0
-0,-0.001284,-0,0.001284,4.4237,0.72973,0.63655,0.68734,0.68854,0.4625,0.4625,0.39653,0.38532,0.37486,0.38891,-0.14314,1.9893,1.9441,-0.097974,0.043081,1.4382,1.4298,0.051517,16.291,5.4305,1,0,0.89655,0.13793,0
0.63317,0.57878,-0.10437,0.86417,0.51198,3.3345,-0.27985,2.7894,-0.22572,0.96478,0.48322,5.236,0.68266,4.4432,1.0454,0.78344,-0.31254,2.2385,-0.134,0.64105,-0.21263,1.8386,-0.084048,23.744,7.9147,1,0,0.86207,0.13793,0.034483
0.49084,0.48931,-0.048274,0.69475,1.0473,3.0804,-0.48232,3.2896,-0.1665,0.91354,0.1573,4.4039,1.53,4.3609,1.5444,0.69332,0.30779,2.0359,-0.40404,0.65592,-0.1644,1.9396,-0.1346,24.608,8.2027,1,0,0.89655,0.17241,0.034483
