x,y,z,u,v,w,vel_mag,rho,press,fluid,ThID
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.249075, 1.416358, 1, 0
0.034483, 0.000000, 0.000000, -0.003028, -0.000757, 0.000000, 0.003122, 3.646488, 1.215496, 1, 0
0.068966, 0.000000, 0.000000, -0.082037, -0.020509, 0.000000, 0.084562, 4.443561, 1.481187, 1, 0
0.103448, 0.000000, 0.000000, -0.042110, -0.010528, 0.000000, 0.043407, 5.523268, 1.841089, 1, 0
0.137931, 0.000000, 0.000000, -0.038350, -0.009587, -0.000000, 0.039530, 6.791071, 2.263690, 1, 0
0.172414, 0.000000, 0.000000, -0.018000, -0.004500, -0.000000, 0.018554, 9.569097, 3.189699, 1, 0
0.206897, 0.000000, 0.000000, -0.008664, -0.002166, 0.000000, 0.008930, 10.377584, 3.459195, 1, 0
0.241379, 0.000000, 0.000000, -0.004430, -0.001107, -0.000000, 0.004566, 10.154155, 3.384718, 1, 0
0.275862, 0.000000, 0.000000, 0.000630, 0.000157, 0.000000, 0.000649, 10.165599, 3.388533, 1, 0
0.310345, 0.000000, 0.000000, 0.000018, 0.000004, -0.000000, 0.000018, 10.216787, 3.405596, 1, 0
0.344828, 0.000000, 0.000000, 0.000018, 0.000004, -0.000000, 0.000018, 10.216787, 3.405596, 1, 0
0.379310, 0.000000, 0.000000, 0.000018, 0.000004, -0.000000, 0.000018, 10.216787, 3.405596, 1, 0
0.413793, 0.000000, 0.000000, 0.000018, 0.000004, -0.000000, 0.000018, 10.216787, 3.405596, 1, 0
0.448276, 0.000000, 0.000000, 0.000018, 0.000004, -0.000000, 0.000018, 10.216787, 3.405596, 1, 0
0.482759, 0.000000, 0.000000, 0.000018, 0.000004, -0.000000, 0.000018, 10.216787, 3.405596, 1, 0
0.517241, 0.000000, 0.000000, 0.000018, 0.000004, -0.000000, 0.000018, 10.216787, 3.405596, 1, 0
0.551724, 0.000000, 0.000000, 0.000018, 0.000004, -0.000000, 0.000018, 10.216787, 3.405596, 1, 0
0.586207, 0.000000, 0.000000, 0.000018, 0.000004, -0.000000, 0.000018, 10.216787, 3.405596, 1, 0
0.620690, 0.000000, 0.000000, 0.000018, 0.000004, -0.000000, 0.000018, 10.216787, 3.405596, 1, 0
0.655172, 0.000000, 0.000000, 0.000018, 0.000004, -0.000000, 0.000018, 10.216787, 3.405596, 1, 0
0.689655, 0.000000, 0.000000, 0.000018, 0.000004, -0.000000, 0.000018, 10.216787, 3.405596, 1, 0
0.724138, 0.000000, 0.000000, -0.001872, -0.000468, 0.000000, 0.001930, 10.172596, 3.390865, 1, 0
0.758621, 0.000000, 0.000000, -0.000634, -0.000159, 0.000000, 0.000654, 10.048263, 3.349421, 1, 0
0.793103, 0.000000, 0.000000, 0.000387, 0.000097, -0.000000, 0.000399, 9.727227, 3.242409, 1, 0
0.827586, 0.000000, 0.000000, 0.006143, 0.001536, 0.000000, 0.006332, 10.521458, 3.507153, 1, 0
0.862069, 0.000000, 0.000000, -0.051953, -0.012988, 0.000000, 0.053552, 9.598084, 3.199361, 1, 0
0.896552, 0.000000, 0.000000, -0.063610, -0.015902, 0.000000, 0.065568, 13.535793, 4.511931, 1, 0
0.931034, 0.000000, 0.000000, -0.081343, -0.020336, 0.000000, 0.083847, 15.174504, 5.058168, 1, 0
0.965517, 0.000000, 0.000000, -0.061767, -0.015442, 0.000000, 0.063668, 20.659877, 6.886626, 1, 0
1.000000, 0.000000, 0.000000, 0.000000, 0.000000, -0.000000, 0.000000, 24.167608, 8.055869, 1, 0
0.000000, 0.034483, 0.000000, 0.000000, -0.028525, 0.000000, 0.028525, 4.869247, 1.623082, 1, 0
0.034483, 0.034483, 0.000000, -0.000000, 0.009466, 0.000000, 0.009466, 5.162888, 1.720963, 1, 0
0.068966, 0.034483, 0.000000, -0.000000, -0.006056, 0.000000, 0.006056, 6.362230, 2.120743, 1, 0
0.103448, 0.034483, 0.000000, -0.000000, 0.005440, 0.000000, 0.005440, 7.105794, 2.368598, 1, 0
0.137931, 0.034483, 0.000000, 0.000000, 0.017484, 0.000000, 0.017484, 8.763609, 2.921203, 1, 0
0.172414, 0.034483, 0.000000, -0.000000, 0.020457, 0.000000, 0.020457, 8.229353, 2.743118, 1, 0
0.206897, 0.034483, 0.000000, -0.000000, 0.038286, 0.000000, 0.038286, 7.692421, 2.564140, 1, 0
0.241379, 0.034483, 0.000000, 0.000000, 0.049708, 0.000000, 0.049708, 9.166239, 3.055413, 1, 0
0.275862, 0.034483, 0.000000, 0.000000, 0.049294, 0.000000, 0.049294, 10.438406, 3.479469, 1, 0
0.310345, 0.034483, 0.000000, 0.000000, 0.049031, 0.000000, 0.049031, 10.838226, 3.612742, 1, 0
0.344828, 0.034483, 0.000000, 0.000000, 0.049031, 0.000000, 0.049031, 10.838226, 3.612742, 1, 0
0.379310, 0.034483, 0.000000, 0.000000, 0.049031, 0.000000, 0.049031, 10.838226, 3.612742, 1, 0
