Printing from thread 0
   ID   |  i |  j |  k ||    x    |    y    |    z
      0 |  0 |  0 |  0 || 0.00000 | 0.00000 | 0.00000 
     29 | 29 |-869 |  0 || 1.00000 | 0.00000 | 0.00000 
    870 |870 |-26071 |  0 || 0.00000 | 1.00000 | 0.00000 
    899 |899 |-26940 |  0 || 1.00000 | 1.00000 | 0.00000 
Printing from thread 1
   ID   |  i |  j |  k ||    x    |    y    |    z
Printing from thread 2
   ID   |  i |  j |  k ||    x    |    y    |    z
Printing from thread 3
   ID   |  i |  j |  k ||    x    |    y    |    z
Printing from thread 4
   ID   |  i |  j |  k ||    x    |    y    |    z
  26100 |26100 |-782130 | 29 || 0.00000 | 0.00000 | 1.00000 
  26129 |26129 |-782999 | 29 || 1.00000 | 0.00000 | 1.00000 
  26970 |26970 |-808201 | 29 || 0.00000 | 1.00000 | 1.00000 
  26999 |26999 |-809070 | 29 || 1.00000 | 1.00000 | 1.00000 
