Printing from thread 0
   ID   |  i |  j |  k ||    x    |    y    |    z
      1 |  1 |-29 |  0 || 0.03448 | 0.00000 | 0.00000 
      2 |  2 |-59 |  0 || 0.06897 | 0.00000 | 0.00000 
      3 |  3 |-89 |  0 || 0.10345 | 0.00000 | 0.00000 
      4 |  4 |-119 |  0 || 0.13793 | 0.00000 | 0.00000 
      5 |  5 |-149 |  0 || 0.17241 | 0.00000 | 0.00000 
      6 |  6 |-179 |  0 || 0.20690 | 0.00000 | 0.00000 
      7 |  7 |-209 |  0 || 0.24138 | 0.00000 | 0.00000 
      8 |  8 |-239 |  0 || 0.27586 | 0.00000 | 0.00000 
      9 |  9 |-269 |  0 || 0.31034 | 0.00000 | 0.00000 
     10 | 10 |-299 |  0 || 0.34483 | 0.00000 | 0.00000 
     11 | 11 |-329 |  0 || 0.37931 | 0.00000 | 0.00000 
     12 | 12 |-359 |  0 || 0.41379 | 0.00000 | 0.00000 
     13 | 13 |-389 |  0 || 0.44828 | 0.00000 | 0.00000 
     14 | 14 |-419 |  0 || 0.48276 | 0.00000 | 0.00000 
     15 | 15 |-449 |  0 || 0.51724 | 0.00000 | 0.00000 
     16 | 16 |-479 |  0 || 0.55172 | 0.00000 | 0.00000 
     17 | 17 |-509 |  0 || 0.58621 | 0.00000 | 0.00000 
     18 | 18 |-539 |  0 || 0.62069 | 0.00000 | 0.00000 
     19 | 19 |-569 |  0 || 0.65517 | 0.00000 | 0.00000 
     20 | 20 |-599 |  0 || 0.68966 | 0.00000 | 0.00000 
     21 | 21 |-629 |  0 || 0.72414 | 0.00000 | 0.00000 
     22 | 22 |-659 |  0 || 0.75862 | 0.00000 | 0.00000 
     23 | 23 |-689 |  0 || 0.79310 | 0.00000 | 0.00000 
     24 | 24 |-719 |  0 || 0.82759 | 0.00000 | 0.00000 
     25 | 25 |-749 |  0 || 0.86207 | 0.00000 | 0.00000 
     26 | 26 |-779 |  0 || 0.89655 | 0.00000 | 0.00000 
     27 | 27 |-809 |  0 || 0.93103 | 0.00000 | 0.00000 
     28 | 28 |-839 |  0 || 0.96552 | 0.00000 | 0.00000 
     30 | 30 |-899 |  0 || 0.00000 | 0.03448 | 0.00000 
     59 | 59 |-1768 |  0 || 1.00000 | 0.03448 | 0.00000 
     60 | 60 |-1798 |  0 || 0.00000 | 0.06897 | 0.00000 
     89 | 89 |-2667 |  0 || 1.00000 | 0.06897 | 0.00000 
     90 | 90 |-2697 |  0 || 0.00000 | 0.10345 | 0.00000 
    119 |119 |-3566 |  0 || 1.00000 | 0.10345 | 0.00000 
    120 |120 |-3596 |  0 || 0.00000 | 0.13793 | 0.00000 
    149 |149 |-4465 |  0 || 1.00000 | 0.13793 | 0.00000 
    150 |150 |-4495 |  0 || 0.00000 | 0.17241 | 0.00000 
    179 |179 |-5364 |  0 || 1.00000 | 0.17241 | 0.00000 
    180 |180 |-5394 |  0 || 0.00000 | 0.20690 | 0.00000 
    209 |209 |-6263 |  0 || 1.00000 | 0.20690 | 0.00000 
    210 |210 |-6293 |  0 || 0.00000 | 0.24138 | 0.00000 
    239 |239 |-7162 |  0 || 1.00000 | 0.24138 | 0.00000 
    240 |240 |-7192 |  0 || 0.00000 | 0.27586 | 0.00000 
    269 |269 |-8061 |  0 || 1.00000 | 0.27586 | 0.00000 
    270 |270 |-8091 |  0 || 0.00000 | 0.31034 | 0.00000 
    299 |299 |-8960 |  0 || 1.00000 | 0.31034 | 0.00000 
    300 |300 |-8990 |  0 || 0.00000 | 0.34483 | 0.00000 
    329 |329 |-9859 |  0 || 1.00000 | 0.34483 | 0.00000 
    330 |330 |-9889 |  0 || 0.00000 | 0.37931 | 0.00000 
    359 |359 |-10758 |  0 || 1.00000 | 0.37931 | 0.00000 
    360 |360 |-10788 |  0 || 0.00000 | 0.41379 | 0.00000 
    389 |389 |-11657 |  0 || 1.00000 | 0.41379 | 0.00000 
    390 |390 |-11687 |  0 || 0.00000 | 0.44828 | 0.00000 
    419 |419 |-12556 |  0 || 1.00000 | 0.44828 | 0.00000 
    420 |420 |-12586 |  0 || 0.00000 | 0.48276 | 0.00000 
    449 |449 |-13455 |  0 || 1.00000 | 0.48276 | 0.00000 
    450 |450 |-13485 |  0 || 0.00000 | 0.51724 | 0.00000 
    479 |479 |-14354 |  0 || 1.00000 | 0.51724 | 0.00000 
    480 |480 |-14384 |  0 || 0.00000 | 0.55172 | 0.00000 
    509 |509 |-15253 |  0 || 1.00000 | 0.55172 | 0.00000 
    510 |510 |-15283 |  0 || 0.00000 | 0.58621 | 0.00000 
    539 |539 |-16152 |  0 || 1.00000 | 0.58621 | 0.00000 
    540 |540 |-16182 |  0 || 0.00000 | 0.62069 | 0.00000 
    569 |569 |-17051 |  0 || 1.00000 | 0.62069 | 0.00000 
    570 |570 |-17081 |  0 || 0.00000 | 0.65517 | 0.00000 
    599 |599 |-17950 |  0 || 1.00000 | 0.65517 | 0.00000 
    600 |600 |-17980 |  0 || 0.00000 | 0.68966 | 0.00000 
    629 |629 |-18849 |  0 || 1.00000 | 0.68966 | 0.00000 
    630 |630 |-18879 |  0 || 0.00000 | 0.72414 | 0.00000 
    659 |659 |-19748 |  0 || 1.00000 | 0.72414 | 0.00000 
    660 |660 |-19778 |  0 || 0.00000 | 0.75862 | 0.00000 
    689 |689 |-20647 |  0 || 1.00000 | 0.75862 | 0.00000 
    690 |690 |-20677 |  0 || 0.00000 | 0.79310 | 0.00000 
    719 |719 |-21546 |  0 || 1.00000 | 0.79310 | 0.00000 
    720 |720 |-21576 |  0 || 0.00000 | 0.82759 | 0.00000 
