Printing from thread 0
   ID   |  i |  j |  k ||    x    |    y    |    z
Printing from thread 1
   ID   |  i |  j |  k ||    x    |    y    |    z
Printing from thread 2
   ID   |  i |  j |  k ||    x    |    y    |    z
Printing from thread 3
   ID   |  i |  j |  k ||    x    |    y    |    z
Printing from thread 4
   ID   |  i |  j |  k ||    x    |    y    |    z
  26131 |26131 |-783058 | 29 || 0.03448 | 0.03448 | 1.00000 
  26132 |26132 |-783088 | 29 || 0.06897 | 0.03448 | 1.00000 
  26133 |26133 |-783118 | 29 || 0.10345 | 0.03448 | 1.00000 
  26134 |26134 |-783148 | 29 || 0.13793 | 0.03448 | 1.00000 
  26135 |26135 |-783178 | 29 || 0.17241 | 0.03448 | 1.00000 
  26136 |26136 |-783208 | 29 || 0.20690 | 0.03448 | 1.00000 
  26137 |26137 |-783238 | 29 || 0.24138 | 0.03448 | 1.00000 
  26138 |26138 |-783268 | 29 || 0.27586 | 0.03448 | 1.00000 
  26139 |26139 |-783298 | 29 || 0.31034 | 0.03448 | 1.00000 
  26140 |26140 |-783328 | 29 || 0.34483 | 0.03448 | 1.00000 
  26141 |26141 |-783358 | 29 || 0.37931 | 0.03448 | 1.00000 
  26142 |26142 |-783388 | 29 || 0.41379 | 0.03448 | 1.00000 
  26143 |26143 |-783418 | 29 || 0.44828 | 0.03448 | 1.00000 
  26144 |26144 |-783448 | 29 || 0.48276 | 0.03448 | 1.00000 
  26145 |26145 |-783478 | 29 || 0.51724 | 0.03448 | 1.00000 
  26146 |26146 |-783508 | 29 || 0.55172 | 0.03448 | 1.00000 
  26147 |26147 |-783538 | 29 || 0.58621 | 0.03448 | 1.00000 
  26148 |26148 |-783568 | 29 || 0.62069 | 0.03448 | 1.00000 
  26149 |26149 |-783598 | 29 || 0.65517 | 0.03448 | 1.00000 
  26150 |26150 |-783628 | 29 || 0.68966 | 0.03448 | 1.00000 
  26151 |26151 |-783658 | 29 || 0.72414 | 0.03448 | 1.00000 
  26152 |26152 |-783688 | 29 || 0.75862 | 0.03448 | 1.00000 
  26153 |26153 |-783718 | 29 || 0.79310 | 0.03448 | 1.00000 
  26154 |26154 |-783748 | 29 || 0.82759 | 0.03448 | 1.00000 
  26155 |26155 |-783778 | 29 || 0.86207 | 0.03448 | 1.00000 
  26156 |26156 |-783808 | 29 || 0.89655 | 0.03448 | 1.00000 
  26157 |26157 |-783838 | 29 || 0.93103 | 0.03448 | 1.00000 
  26158 |26158 |-783868 | 29 || 0.96552 | 0.03448 | 1.00000 
  26161 |26161 |-783957 | 29 || 0.03448 | 0.06897 | 1.00000 
  26162 |26162 |-783987 | 29 || 0.06897 | 0.06897 | 1.00000 
  26163 |26163 |-784017 | 29 || 0.10345 | 0.06897 | 1.00000 
  26164 |26164 |-784047 | 29 || 0.13793 | 0.06897 | 1.00000 
  26165 |26165 |-784077 | 29 || 0.17241 | 0.06897 | 1.00000 
  26166 |26166 |-784107 | 29 || 0.20690 | 0.06897 | 1.00000 
  26167 |26167 |-784137 | 29 || 0.24138 | 0.06897 | 1.00000 
  26168 |26168 |-784167 | 29 || 0.27586 | 0.06897 | 1.00000 
  26169 |26169 |-784197 | 29 || 0.31034 | 0.06897 | 1.00000 
  26170 |26170 |-784227 | 29 || 0.34483 | 0.06897 | 1.00000 
  26171 |26171 |-784257 | 29 || 0.37931 | 0.06897 | 1.00000 
  26172 |26172 |-784287 | 29 || 0.41379 | 0.06897 | 1.00000 
  26173 |26173 |-784317 | 29 || 0.44828 | 0.06897 | 1.00000 
  26174 |26174 |-784347 | 29 || 0.48276 | 0.06897 | 1.00000 
  26175 |26175 |-784377 | 29 || 0.51724 | 0.06897 | 1.00000 
  26176 |26176 |-784407 | 29 || 0.55172 | 0.06897 | 1.00000 
  26177 |26177 |-784437 | 29 || 0.58621 | 0.06897 | 1.00000 
  26178 |26178 |-784467 | 29 || 0.62069 | 0.06897 | 1.00000 
  26179 |26179 |-784497 | 29 || 0.65517 | 0.06897 | 1.00000 
  26180 |26180 |-784527 | 29 || 0.68966 | 0.06897 | 1.00000 
  26181 |26181 |-784557 | 29 || 0.72414 | 0.06897 | 1.00000 
  26182 |26182 |-784587 | 29 || 0.75862 | 0.06897 | 1.00000 
  26183 |26183 |-784617 | 29 || 0.79310 | 0.06897 | 1.00000 
  26184 |26184 |-784647 | 29 || 0.82759 | 0.06897 | 1.00000 
  26185 |26185 |-784677 | 29 || 0.86207 | 0.06897 | 1.00000 
  26186 |26186 |-784707 | 29 || 0.89655 | 0.06897 | 1.00000 
  26187 |26187 |-784737 | 29 || 0.93103 | 0.06897 | 1.00000 
  26188 |26188 |-784767 | 29 || 0.96552 | 0.06897 | 1.00000 
  26191 |26191 |-784856 | 29 || 0.03448 | 0.10345 | 1.00000 
  26192 |26192 |-784886 | 29 || 0.06897 | 0.10345 | 1.00000 
  26193 |26193 |-784916 | 29 || 0.10345 | 0.10345 | 1.00000 
  26194 |26194 |-784946 | 29 || 0.13793 | 0.10345 | 1.00000 
  26195 |26195 |-784976 | 29 || 0.17241 | 0.10345 | 1.00000 
  26196 |26196 |-785006 | 29 || 0.20690 | 0.10345 | 1.00000 
  26197 |26197 |-785036 | 29 || 0.24138 | 0.10345 | 1.00000 
  26198 |26198 |-785066 | 29 || 0.27586 | 0.10345 | 1.00000 
  26199 |26199 |-785096 | 29 || 0.31034 | 0.10345 | 1.00000 
  26200 |26200 |-785126 | 29 || 0.34483 | 0.10345 | 1.00000 
  26201 |26201 |-785156 | 29 || 0.37931 | 0.10345 | 1.00000 
  26202 |26202 |-785186 | 29 || 0.41379 | 0.10345 | 1.00000 
  26203 |26203 |-785216 | 29 || 0.44828 | 0.10345 | 1.00000 
  26204 |26204 |-785246 | 29 || 0.48276 | 0.10345 | 1.00000 
  26205 |26205 |-785276 | 29 || 0.51724 | 0.10345 | 1.00000 
  26206 |26206 |-785306 | 29 || 0.55172 | 0.10345 | 1.00000 
  26207 |26207 |-785336 | 29 || 0.58621 | 0.10345 | 1.00000 
  26208 |26208 |-785366 | 29 || 0.62069 | 0.10345 | 1.00000 
  26209 |26209 |-785396 | 29 || 0.65517 | 0.10345 | 1.00000 
  26210 |26210 |-785426 | 29 || 0.68966 | 0.10345 | 1.00000 
  26211 |26211 |-785456 | 29 || 0.72414 | 0.10345 | 1.00000 
  26212 |26212 |-785486 | 29 || 0.75862 | 0.10345 | 1.00000 
  26213 |26213 |-785516 | 29 || 0.79310 | 0.10345 | 1.00000 
  26214 |26214 |-785546 | 29 || 0.82759 | 0.10345 | 1.00000 
  26215 |26215 |-785576 | 29 || 0.86207 | 0.10345 | 1.00000 
  26216 |26216 |-785606 | 29 || 0.89655 | 0.10345 | 1.00000 
  26217 |26217 |-785636 | 29 || 0.93103 | 0.10345 | 1.00000 
  26218 |26218 |-785666 | 29 || 0.96552 | 0.10345 | 1.00000 
  26221 |26221 |-785755 | 29 || 0.03448 | 0.13793 | 1.00000 
  26222 |26222 |-785785 | 29 || 0.06897 | 0.13793 | 1.00000 
  26223 |26223 |-785815 | 29 || 0.10345 | 0.13793 | 1.00000 
  26224 |26224 |-785845 | 29 || 0.13793 | 0.13793 | 1.00000 
  26225 |26225 |-785875 | 29 || 0.17241 | 0.13793 | 1.00000 
  26226 |26226 |-785905 | 29 || 0.20690 | 0.13793 | 1.00000 
  26227 |26227 |-785935 | 29 || 0.24138 | 0.13793 | 1.00000 
  26228 |26228 |-785965 | 29 || 0.27586 | 0.13793 | 1.00000 
  26229 |26229 |-785995 | 29 || 0.31034 | 0.13793 | 1.00000 
  26230 |26230 |-786025 | 29 || 0.34483 | 0.13793 | 1.00000 
  26231 |26231 |-786055 | 29 || 0.37931 | 0.13793 | 1.00000 
  26232 |26232 |-786085 | 29 || 0.41379 | 0.13793 | 1.00000 
  26233 |26233 |-786115 | 29 || 0.44828 | 0.13793 | 1.00000 
  26234 |26234 |-786145 | 29 || 0.48276 | 0.13793 | 1.00000 
  26235 |26235 |-786175 | 29 || 0.51724 | 0.13793 | 1.00000 
  26236 |26236 |-786205 | 29 || 0.55172 | 0.13793 | 1.00000 
  26237 |26237 |-786235 | 29 || 0.58621 | 0.13793 | 1.00000 
  26238 |26238 |-786265 | 29 || 0.62069 | 0.13793 | 1.00000 
  26239 |26239 |-786295 | 29 || 0.65517 | 0.13793 | 1.00000 
  26240 |26240 |-786325 | 29 || 0.68966 | 0.13793 | 1.00000 
  26241 |26241 |-786355 | 29 || 0.72414 | 0.13793 | 1.00000 
  26242 |26242 |-786385 | 29 || 0.75862 | 0.13793 | 1.00000 
  26243 |26243 |-786415 | 29 || 0.79310 | 0.13793 | 1.00000 
  26244 |26244 |-786445 | 29 || 0.82759 | 0.13793 | 1.00000 
