Printing from thread 3
   ID   |  i |  j |  k ||    x    |    y    |    z
  16200 |16200 |-485460 | 18 || 0.00000 | 0.00000 | 0.62069 
  16201 |16201 |-485489 | 18 || 0.03448 | 0.00000 | 0.62069 
  16202 |16202 |-485519 | 18 || 0.06897 | 0.00000 | 0.62069 
  16203 |16203 |-485549 | 18 || 0.10345 | 0.00000 | 0.62069 
  16204 |16204 |-485579 | 18 || 0.13793 | 0.00000 | 0.62069 
  16205 |16205 |-485609 | 18 || 0.17241 | 0.00000 | 0.62069 
  16206 |16206 |-485639 | 18 || 0.20690 | 0.00000 | 0.62069 
  16207 |16207 |-485669 | 18 || 0.24138 | 0.00000 | 0.62069 
  16208 |16208 |-485699 | 18 || 0.27586 | 0.00000 | 0.62069 
  16209 |16209 |-485729 | 18 || 0.31034 | 0.00000 | 0.62069 
  16210 |16210 |-485759 | 18 || 0.34483 | 0.00000 | 0.62069 
  16211 |16211 |-485789 | 18 || 0.37931 | 0.00000 | 0.62069 
  16212 |16212 |-485819 | 18 || 0.41379 | 0.00000 | 0.62069 
  16213 |16213 |-485849 | 18 || 0.44828 | 0.00000 | 0.62069 
  16214 |16214 |-485879 | 18 || 0.48276 | 0.00000 | 0.62069 
  16215 |16215 |-485909 | 18 || 0.51724 | 0.00000 | 0.62069 
  16216 |16216 |-485939 | 18 || 0.55172 | 0.00000 | 0.62069 
  16217 |16217 |-485969 | 18 || 0.58621 | 0.00000 | 0.62069 
  16218 |16218 |-485999 | 18 || 0.62069 | 0.00000 | 0.62069 
  16219 |16219 |-486029 | 18 || 0.65517 | 0.00000 | 0.62069 
  16220 |16220 |-486059 | 18 || 0.68966 | 0.00000 | 0.62069 
  16221 |16221 |-486089 | 18 || 0.72414 | 0.00000 | 0.62069 
  16222 |16222 |-486119 | 18 || 0.75862 | 0.00000 | 0.62069 
  16223 |16223 |-486149 | 18 || 0.79310 | 0.00000 | 0.62069 
  16224 |16224 |-486179 | 18 || 0.82759 | 0.00000 | 0.62069 
  16225 |16225 |-486209 | 18 || 0.86207 | 0.00000 | 0.62069 
  16226 |16226 |-486239 | 18 || 0.89655 | 0.00000 | 0.62069 
  16227 |16227 |-486269 | 18 || 0.93103 | 0.00000 | 0.62069 
  16228 |16228 |-486299 | 18 || 0.96552 | 0.00000 | 0.62069 
  16229 |16229 |-486329 | 18 || 1.00000 | 0.00000 | 0.62069 
  16230 |16230 |-486359 | 18 || 0.00000 | 0.03448 | 0.62069 
  16231 |16231 |-486388 | 18 || 0.03448 | 0.03448 | 0.62069 
  16232 |16232 |-486418 | 18 || 0.06897 | 0.03448 | 0.62069 
  16233 |16233 |-486448 | 18 || 0.10345 | 0.03448 | 0.62069 
  16234 |16234 |-486478 | 18 || 0.13793 | 0.03448 | 0.62069 
  16235 |16235 |-486508 | 18 || 0.17241 | 0.03448 | 0.62069 
  16236 |16236 |-486538 | 18 || 0.20690 | 0.03448 | 0.62069 
  16237 |16237 |-486568 | 18 || 0.24138 | 0.03448 | 0.62069 
  16238 |16238 |-486598 | 18 || 0.27586 | 0.03448 | 0.62069 
  16239 |16239 |-486628 | 18 || 0.31034 | 0.03448 | 0.62069 
  16240 |16240 |-486658 | 18 || 0.34483 | 0.03448 | 0.62069 
  16241 |16241 |-486688 | 18 || 0.37931 | 0.03448 | 0.62069 
  16242 |16242 |-486718 | 18 || 0.41379 | 0.03448 | 0.62069 
  16243 |16243 |-486748 | 18 || 0.44828 | 0.03448 | 0.62069 
  16244 |16244 |-486778 | 18 || 0.48276 | 0.03448 | 0.62069 
  16245 |16245 |-486808 | 18 || 0.51724 | 0.03448 | 0.62069 
  16246 |16246 |-486838 | 18 || 0.55172 | 0.03448 | 0.62069 
  16247 |16247 |-486868 | 18 || 0.58621 | 0.03448 | 0.62069 
  16248 |16248 |-486898 | 18 || 0.62069 | 0.03448 | 0.62069 
  16249 |16249 |-486928 | 18 || 0.65517 | 0.03448 | 0.62069 
  16250 |16250 |-486958 | 18 || 0.68966 | 0.03448 | 0.62069 
  16251 |16251 |-486988 | 18 || 0.72414 | 0.03448 | 0.62069 
  16252 |16252 |-487018 | 18 || 0.75862 | 0.03448 | 0.62069 
  16253 |16253 |-487048 | 18 || 0.79310 | 0.03448 | 0.62069 
  16254 |16254 |-487078 | 18 || 0.82759 | 0.03448 | 0.62069 
  16255 |16255 |-487108 | 18 || 0.86207 | 0.03448 | 0.62069 
  16256 |16256 |-487138 | 18 || 0.89655 | 0.03448 | 0.62069 
  16257 |16257 |-487168 | 18 || 0.93103 | 0.03448 | 0.62069 
  16258 |16258 |-487198 | 18 || 0.96552 | 0.03448 | 0.62069 
  16259 |16259 |-487228 | 18 || 1.00000 | 0.03448 | 0.62069 
  16260 |16260 |-487258 | 18 || 0.00000 | 0.06897 | 0.62069 
  16261 |16261 |-487287 | 18 || 0.03448 | 0.06897 | 0.62069 
  16262 |16262 |-487317 | 18 || 0.06897 | 0.06897 | 0.62069 
  16263 |16263 |-487347 | 18 || 0.10345 | 0.06897 | 0.62069 
  16264 |16264 |-487377 | 18 || 0.13793 | 0.06897 | 0.62069 
  16265 |16265 |-487407 | 18 || 0.17241 | 0.06897 | 0.62069 
  16266 |16266 |-487437 | 18 || 0.20690 | 0.06897 | 0.62069 
  16267 |16267 |-487467 | 18 || 0.24138 | 0.06897 | 0.62069 
  16268 |16268 |-487497 | 18 || 0.27586 | 0.06897 | 0.62069 
  16269 |16269 |-487527 | 18 || 0.31034 | 0.06897 | 0.62069 
  16270 |16270 |-487557 | 18 || 0.34483 | 0.06897 | 0.62069 
  16271 |16271 |-487587 | 18 || 0.37931 | 0.06897 | 0.62069 
  16272 |16272 |-487617 | 18 || 0.41379 | 0.06897 | 0.62069 
  16273 |16273 |-487647 | 18 || 0.44828 | 0.06897 | 0.62069 
  16274 |16274 |-487677 | 18 || 0.48276 | 0.06897 | 0.62069 
  16275 |16275 |-487707 | 18 || 0.51724 | 0.06897 | 0.62069 
  16276 |16276 |-487737 | 18 || 0.55172 | 0.06897 | 0.62069 
  16277 |16277 |-487767 | 18 || 0.58621 | 0.06897 | 0.62069 
  16278 |16278 |-487797 | 18 || 0.62069 | 0.06897 | 0.62069 
  16279 |16279 |-487827 | 18 || 0.65517 | 0.06897 | 0.62069 
  16280 |16280 |-487857 | 18 || 0.68966 | 0.06897 | 0.62069 
  16281 |16281 |-487887 | 18 || 0.72414 | 0.06897 | 0.62069 
