Iter Time Vel_res Rho_res Drag Lift
0 0.0000e+00 1.7202e+01 1.0469e-01 0.000000 0.000000
1 0.0000e+00 2.5529e+01 1.5537e-01 0.000000 0.000000
2 0.0000e+00 3.2454e+01 1.9751e-01 0.000000 0.000000
3 0.0000e+00 4.0145e+01 2.4431e-01 0.000000 0.000000
4 0.0000e+00 5.1890e+01 3.1579e-01 0.000000 0.000000
5 0.0000e+00 7.9075e+01 4.8124e-01 0.000000 0.000000
6 0.0000e+00 1.3466e+02 8.1949e-01 0.000000 0.000000
7 0.0000e+00 2.6239e+02 1.5968e+00 0.000000 0.000000
8 0.0000e+00 1.0330e+03 6.2867e+00 0.000000 0.000000
9 0.0000e+00 1.8464e+03 1.1237e+01 0.000000 0.000000
10 0.0000e+00 1.6809e+04 1.0230e+02 0.000000 0.000000
11 0.0000e+00 5.4990e+04 3.3466e+02 0.000000 0.000000
12 0.0000e+00 1.1475e+06 6.9832e+03 0.000000 0.000000
13 0.0000e+00 2.9971e+06 1.8240e+04 0.000000 0.000000
14 0.0000e+00 6.6790e+07 4.0647e+05 0.000000 0.000000
15 0.0000e+00 9.6036e+07 5.8446e+05 0.000000 0.000000
16 0.0000e+00 8.2993e+08 5.0508e+06 0.000000 0.000000
17 0.0000e+00 1.3252e+10 8.0647e+07 0.000000 0.000000
18 0.0000e+00 1.1690e+12 7.1143e+09 0.000000 0.000000
19 0.0000e+00 1.5867e+12 9.6565e+09 0.000000 0.000000
20 0.0000e+00 1.0351e+13 6.2991e+10 0.000000 0.000000
21 0.0000e+00 6.4465e+13 3.9232e+11 0.000000 0.000000
22 0.0000e+00 2.4851e+14 1.5124e+12 0.000000 0.000000
23 0.0000e+00 1.2364e+16 7.5246e+13 0.000000 0.000000
24 0.0000e+00 2.1306e+16 1.2966e+14 0.000000 0.000000
25 0.0000e+00 1.5837e+17 9.6381e+14 0.000000 0.000000
26 0.0000e+00 2.3454e+18 1.4273e+16 0.000000 0.000000
27 0.0000e+00 9.6337e+19 5.8629e+17 0.000000 0.000000
28 0.0000e+00 5.8509e+20 3.5608e+18 0.000000 0.000000
29 0.0000e+00 3.5266e+21 2.1462e+19 0.000000 0.000000
30 0.0000e+00 2.2318e+23 1.3582e+21 0.000000 0.000000
31 0.0000e+00 1.7876e+24 1.0879e+22 0.000000 0.000000
32 0.0000e+00 2.4399e+25 1.4849e+23 0.000000 0.000000
33 0.0000e+00 1.1854e+26 7.2142e+23 0.000000 0.000000
34 0.0000e+00 1.3675e+29 8.3223e+26 0.000000 0.000000
35 0.0000e+00 3.9791e+30 2.4216e+28 0.000000 0.000000
36 0.0000e+00 3.7724e+31 2.2958e+29 0.000000 0.000000
37 0.0000e+00 5.2509e+32 3.1956e+30 0.000000 0.000000
38 0.0000e+00 2.6888e+34 1.6363e+32 0.000000 0.000000
39 0.0000e+00 4.3274e+35 2.6336e+33 0.000000 0.000000
40 0.0000e+00 3.6859e+36 2.2432e+34 0.000000 0.000000
41 0.0000e+00 6.3438e+36 3.8607e+34 0.000000 0.000000
42 0.0000e+00 2.6127e+37 1.5900e+35 0.000000 0.000000
43 0.0000e+00 1.2231e+38 7.4437e+35 0.000000 0.000000
44 0.0000e+00 1.6230e+39 9.8775e+36 0.000000 0.000000
45 0.0000e+00 7.2238e+40 4.3963e+38 0.000000 0.000000
46 0.0000e+00 2.2254e+41 1.3543e+39 0.000000 0.000000
47 0.0000e+00 2.3724e+42 1.4438e+40 0.000000 0.000000
48 0.0000e+00 7.3197e+42 4.4546e+40 0.000000 0.000000
49 0.0000e+00 3.8018e+43 2.3137e+41 0.000000 0.000000
50 0.0000e+00 3.1163e+45 1.8965e+43 0.000000 0.000000
51 0.0000e+00 8.8232e+46 5.3697e+44 0.000000 0.000000
52 0.0000e+00 4.0977e+47 2.4938e+45 0.000000 0.000000
53 0.0000e+00 2.2601e+48 1.3755e+46 0.000000 0.000000
54 0.0000e+00 9.7569e+48 5.9378e+46 0.000000 0.000000
55 0.0000e+00 5.9778e+49 3.6380e+47 0.000000 0.000000
56 0.0000e+00 1.1709e+51 7.1261e+48 0.000000 0.000000
57 0.0000e+00 6.3148e+51 3.8430e+49 0.000000 0.000000
58 0.0000e+00 3.8116e+53 2.3197e+51 0.000000 0.000000
59 0.0000e+00 1.1480e+55 6.9863e+52 0.000000 0.000000
60 0.0000e+00 7.7136e+55 4.6943e+53 0.000000 0.000000
61 0.0000e+00 2.6224e+56 1.5959e+54 0.000000 0.000000
62 0.0000e+00 1.0143e+57 6.1729e+54 0.000000 0.000000
63 0.0000e+00 6.1688e+57 3.7542e+55 0.000000 0.000000
64 0.0000e+00 6.9572e+60 4.2340e+58 0.000000 0.000000
65 0.0000e+00 6.1516e+61 3.7438e+59 0.000000 0.000000
66 0.0000e+00 2.7473e+62 1.6719e+60 0.000000 0.000000
67 0.0000e+00 8.3463e+62 5.0794e+60 0.000000 0.000000
68 0.0000e+00 2.1532e+63 1.3104e+61 0.000000 0.000000
69 0.0000e+00 4.6092e+64 2.8051e+62 0.000000 0.000000
70 0.0000e+00 6.3573e+64 3.8690e+62 0.000000 0.000000
71 0.0000e+00 2.2610e+65 1.3760e+63 0.000000 0.000000
72 0.0000e+00 4.1970e+66 2.5542e+64 0.000000 0.000000
73 0.0000e+00 8.9420e+66 5.4420e+64 0.000000 0.000000
74 0.0000e+00 5.6453e+67 3.4356e+65 0.000000 0.000000
75 0.0000e+00 8.0970e+69 4.9277e+67 0.000000 0.000000
76 0.0000e+00 1.5319e+70 9.3229e+67 0.000000 0.000000
77 0.0000e+00 8.6276e+70 5.2506e+68 0.000000 0.000000
78 0.0000e+00 1.2592e+72 7.6630e+69 0.000000 0.000000
79 0.0000e+00 9.0091e+72 5.4828e+70 0.000000 0.000000
80 0.0000e+00 3.7174e+73 2.2623e+71 0.000000 0.000000
81 0.0000e+00 1.4337e+74 8.7254e+71 0.000000 0.000000
82 0.0000e+00 1.2725e+75 7.7444e+72 0.000000 0.000000
83 0.0000e+00 8.3399e+75 5.0755e+73 0.000000 0.000000
84 0.0000e+00 3.2515e+76 1.9788e+74 0.000000 0.000000
85 0.0000e+00 1.7997e+77 1.0952e+75 0.000000 0.000000
86 0.0000e+00 6.5871e+77 4.0088e+75 0.000000 0.000000
87 0.0000e+00 3.8926e+78 2.3689e+76 0.000000 0.000000
88 0.0000e+00 1.0237e+79 6.2300e+76 0.000000 0.000000
89 0.0000e+00 6.8930e+79 4.1950e+77 0.000000 0.000000
90 0.0000e+00 2.2684e+80 1.3805e+78 0.000000 0.000000
91 0.0000e+00 1.8499e+81 1.1258e+79 0.000000 0.000000
92 0.0000e+00 7.1055e+81 4.3243e+79 0.000000 0.000000
93 0.0000e+00 9.0319e+82 5.4967e+80 0.000000 0.000000
