  ID  j  METAF[j]  F[j]
  930  0 3.11447 3.11447
  930  1 0.65996 0.40839
  930  2 0.40839 0.40839
  930  3 0.51908 0.51908
  930  4 0.51908 0.51908
  930  5 0.51908 0.51908
  930  6 0.51908 0.51908
  930  7 0.32998 0.00000
  930  8 0.20419 0.20419
  930  9 0.00000 0.20419
  930 10 0.00000 0.00000
  930 11 0.00000 0.00000
  930 12 0.00000 0.00000
  930 13 0.00000 0.00000
  930 14 0.00000 0.00000
  930 15 0.00000 0.00000
  930 16 0.00000 0.00000
  930 17 0.00000 0.00000
  930 18 0.00000 0.00000
  931  0 3.11447 3.11447
  931  1 0.65996 0.65996
  931  2 0.40839 0.40839
  931  3 0.51908 0.51908
  931  4 0.51908 0.51908
  931  5 0.51908 0.51908
  931  6 0.51908 0.51908
  931  7 0.32998 0.32998
  931  8 0.20419 0.20419
  931  9 0.00000 0.00000
  931 10 0.00000 0.00000
  931 11 0.00000 0.00000
  931 12 0.00000 0.00000
  931 13 0.00000 0.00000
  931 14 0.00000 0.00000
  931 15 0.00000 0.00000
  931 16 0.00000 0.00000
  931 17 0.00000 0.00000
  931 18 0.00000 0.00000
  932  0 3.11447 3.11447
  932  1 0.65996 0.65996
  932  2 0.40839 0.40839
  932  3 0.51908 0.51908
  932  4 0.51908 0.51908
  932  5 0.51908 0.51908
  932  6 0.51908 0.51908
  932  7 0.32998 0.32998
  932  8 0.20419 0.20419
  932  9 0.00000 0.00000
  932 10 0.00000 0.00000
  932 11 0.00000 0.00000
  932 12 0.00000 0.00000
  932 13 0.00000 0.00000
  932 14 0.00000 0.00000
  932 15 0.00000 0.00000
  932 16 0.00000 0.00000
  932 17 0.00000 0.00000
  932 18 0.00000 0.00000
  933  0 3.11447 3.11447
  933  1 0.65996 0.65996
  933  2 0.40839 0.40839
  933  3 0.51908 0.51908
  933  4 0.51908 0.51908
  933  5 0.51908 0.51908
  933  6 0.51908 0.51908
  933  7 0.32998 0.32998
  933  8 0.20419 0.20419
  933  9 0.00000 0.00000
  933 10 0.00000 0.00000
  933 11 0.00000 0.00000
  933 12 0.00000 0.00000
  933 13 0.00000 0.00000
  933 14 0.00000 0.00000
  933 15 0.00000 0.00000
  933 16 0.00000 0.00000
  933 17 0.00000 0.00000
  933 18 0.00000 0.00000
  934  0 3.11447 3.11447
  934  1 0.65996 0.65996
  934  2 0.40839 0.40839
  934  3 0.51908 0.51908
  934  4 0.51908 0.51908
  934  5 0.51908 0.51908
  934  6 0.51908 0.51908
  934  7 0.32998 0.32998
  934  8 0.20419 0.20419
  934  9 0.00000 0.00000
  934 10 0.00000 0.00000
  934 11 0.00000 0.00000
  934 12 0.00000 0.00000
  934 13 0.00000 0.00000
  934 14 0.00000 0.00000
  934 15 0.00000 0.00000
  934 16 0.00000 0.00000
  934 17 0.00000 0.00000
  934 18 0.00000 0.00000
  935  0 3.11447 3.11447
  935  1 0.65996 0.65996
  935  2 0.40839 0.40839
  935  3 0.51908 0.51908
  935  4 0.51908 0.51908
  935  5 0.51908 0.51908
  935  6 0.51908 0.51908
  935  7 0.32998 0.32998
  935  8 0.20419 0.20419
  935  9 0.00000 0.00000
  935 10 0.00000 0.00000
  935 11 0.00000 0.00000
  935 12 0.00000 0.00000
  935 13 0.00000 0.00000
  935 14 0.00000 0.00000
  935 15 0.00000 0.00000
  935 16 0.00000 0.00000
  935 17 0.00000 0.00000
  935 18 0.00000 0.00000
  936  0 3.11447 3.11447
  936  1 0.65996 0.65996
  936  2 0.40839 0.40839
  936  3 0.51908 0.51908
  936  4 0.51908 0.51908
  936  5 0.51908 0.51908
  936  6 0.51908 0.51908
  936  7 0.32998 0.32998
  936  8 0.20419 0.20419
  936  9 0.00000 0.00000
  936 10 0.00000 0.00000
  936 11 0.00000 0.00000
  936 12 0.00000 0.00000
  936 13 0.00000 0.00000
  936 14 0.00000 0.00000
  936 15 0.00000 0.00000
  936 16 0.00000 0.00000
  936 17 0.00000 0.00000
  936 18 0.00000 0.00000
  937  0 3.11447 3.11447
  937  1 0.65996 0.65996
  937  2 0.40839 0.40839
  937  3 0.51908 0.51908
  937  4 0.51908 0.51908
